Name	UploadTime	FinishTime	Diff
stonehenge2260.jpeg:	1485617133000	1485617172000	39000
stonehenge2221.jpeg:	1485617175000	1485617217000	42000
stonehenge2235.jpeg:	1485617200000	1485617251000	51000
stonehenge2249.jpeg:	1485617224000	1485617291000	67000
stonehenge2243.jpeg:	1485617215000	1485617271000	56000
stonehenge2204.jpeg:	1485617142000	1485617180000	38000
stonehenge2227.jpeg:	1485617185000	1485617232000	47000
stonehenge2205.jpeg:	1485617144000	1485617182000	38000
stonehenge2251.jpeg:	1485617228000	1485617297000	69000
stonehenge2219.jpeg:	1485617170000	1485617211000	41000
stonehenge2244.jpeg:	1485617216000	1485617274000	58000
stonehenge2552.jpeg:	1485619005000	1485619011000	6000
stonehenge2236.jpeg:	1485617201000	1485617254000	53000
stonehenge2252.jpeg:	1485617230000	1485617299000	69000
stonehenge2213.jpeg:	1485617157000	1485617200000	43000
stonehenge2258.jpeg:	1485617131000	1485617167000	36000
stonehenge2256.jpeg:	1485617127000	1485617162000	35000
stonehenge2259.jpeg:	1485617132000	1485617169000	37000
stonehenge2245.jpeg:	1485617217000	1485617276000	59000
stonehenge2253.jpeg:	1485617122000	1485617153000	31000
stonehenge2248.jpeg:	1485617222000	1485617289000	67000
stonehenge2223.jpeg:	1485617177000	1485617222000	45000
stonehenge2229.jpeg:	1485617188000	1485617237000	49000
stonehenge2215.jpeg:	1485617162000	1485617202000	40000
stonehenge2220.jpeg:	1485617172000	1485617214000	42000
stonehenge2212.jpeg:	1485617154000	1485617198000	44000
stonehenge2237.jpeg:	1485617204000	1485617256000	52000
stonehenge2231.jpeg:	1485617191000	1485617241000	50000
stonehenge2250.jpeg:	1485617225000	1485617294000	69000
stonehenge2218.jpeg:	1485617168000	1485617209000	41000
stonehenge2242.jpeg:	1485617212000	1485617268000	56000
stonehenge2226.jpeg:	1485617183000	1485617229000	46000
stonehenge2234.jpeg:	1485617198000	1485617248000	50000
stonehenge2238.jpeg:	1485617205000	1485617258000	53000
stonehenge2224.jpeg:	1485617179000	1485617225000	46000
stonehenge2207.jpeg:	1485617147000	1485617188000	41000
stonehenge2232.jpeg:	1485617193000	1485617243000	50000
stonehenge2201.jpeg:	1485617137000	1485617174000	37000
stonehenge2254.jpeg:	1485617123000	1485617155000	32000
stonehenge2246.jpeg:	1485617219000	1485617281000	62000
stonehenge2247.jpeg:	1485617220000	1485617285000	65000
stonehenge2208.jpeg:	1485617149000	1485617190000	41000
stonehenge2233.jpeg:	1485617196000	1485617245000	49000
stonehenge2241.jpeg:	1485617211000	1485617265000	54000
stonehenge2216.jpeg:	1485617165000	1485617204000	39000
stonehenge2240.jpeg:	1485617209000	1485617263000	54000
stonehenge2255.jpeg:	1485617126000	1485617158000	32000
stonehenge2210.jpeg:	1485617152000	1485617194000	42000
stonehenge2239.jpeg:	1485617207000	1485617261000	54000
stonehenge2202.jpeg:	1485617139000	1485617176000	37000
stonehenge2217.jpeg:	1485617166000	1485617206000	40000
stonehenge2203.jpeg:	1485617140000	1485617178000	38000
stonehenge2211.jpeg:	1485617153000	1485617196000	43000
stonehenge2228.jpeg:	1485617186000	1485617235000	49000
stonehenge2222.jpeg:	1485617176000	1485617220000	44000
stonehenge2209.jpeg:	1485617150000	1485617192000	42000
stonehenge2225.jpeg:	1485617181000	1485617227000	46000
stonehenge2206.jpeg:	1485617145000	1485617185000	40000
stonehenge2230.jpeg:	1485617189000	1485617239000	50000
stonehenge2257.jpeg:	1485617129000	1485617165000	36000

Mittelwert:	46
Longest:	69

