Name	UploadTime	FinishTime	Diff
stonehenge5299.jpeg:	1486224157000	1486224530000	373000
stonehenge5354.jpeg:	1486224159000	1486224826000	667000
stonehenge5368.jpeg:	1486224153000	1486224172000	19000
stonehenge5240.jpeg:	1486224157000	1486224256000	99000
stonehenge5285.jpeg:	1486224157000	1486224466000	309000
stonehenge5340.jpeg:	1486224159000	1486224755000	596000
stonehenge5271.jpeg:	1486224157000	1486224398000	241000
stonehenge5307.jpeg:	1486224157000	1486224568000	411000
stonehenge5371.jpeg:	1486224157000	1486224719000	562000
stonehenge5268.jpeg:	1486224157000	1486224385000	228000
stonehenge5323.jpeg:	1486224157000	1486224640000	483000
stonehenge5237.jpeg:	1486224157000	1486224236000	79000
stonehenge5337.jpeg:	1486224157000	1486224709000	552000
stonehenge5269.jpeg:	1486224157000	1486224389000	232000
stonehenge5324.jpeg:	1486224157000	1486224645000	488000
stonehenge5270.jpeg:	1486224157000	1486224393000	236000
stonehenge5284.jpeg:	1486224157000	1486224462000	305000
stonehenge5369.jpeg:	1486224153000	1486224176000	23000
stonehenge5370.jpeg:	1486224157000	1486224716000	559000
stonehenge5254.jpeg:	1486224157000	1486224321000	164000
stonehenge5238.jpeg:	1486224157000	1486224245000	88000
stonehenge5338.jpeg:	1486224159000	1486224745000	586000
stonehenge5239.jpeg:	1486224157000	1486224250000	93000
stonehenge5372.jpeg:	1486224157000	1486224727000	570000
stonehenge5308.jpeg:	1486224157000	1486224572000	415000
stonehenge5236.jpeg:	1486224157000	1486224233000	76000
stonehenge5298.jpeg:	1486224157000	1486224526000	369000
stonehenge5353.jpeg:	1486224159000	1486224822000	663000
stonehenge5255.jpeg:	1486224157000	1486224325000	168000
stonehenge5305.jpeg:	1486224157000	1486224559000	402000
stonehenge5310.jpeg:	1486224157000	1486224579000	422000
stonehenge5287.jpeg:	1486224157000	1486224478000	321000
stonehenge5342.jpeg:	1486224159000	1486224768000	609000
stonehenge5356.jpeg:	1486224159000	1486224834000	675000
stonehenge5252.jpeg:	1486224157000	1486224312000	155000
stonehenge5367.jpeg:	1486224153000	1486224168000	15000
stonehenge5241.jpeg:	1486224157000	1486224261000	104000
stonehenge5312.jpeg:	1486224157000	1486224591000	434000
stonehenge5357.jpeg:	1486224159000	1486224839000	680000
stonehenge5282.jpeg:	1486224157000	1486224454000	297000
stonehenge5351.jpeg:	1486224159000	1486224813000	654000
stonehenge5243.jpeg:	1486224157000	1486224267000	110000
stonehenge5318.jpeg:	1486224157000	1486224618000	461000
stonehenge5234.jpeg:	1486224157000	1486224227000	70000
stonehenge5334.jpeg:	1486224157000	1486224693000	536000
stonehenge5366.jpeg:	1486224153000	1486224164000	11000
stonehenge5266.jpeg:	1486224157000	1486224372000	215000
stonehenge5227.jpeg:	1486224157000	1486224209000	52000
stonehenge5281.jpeg:	1486224157000	1486224450000	293000
stonehenge5373.jpeg:	1486224157000	1486224730000	573000
stonehenge5319.jpeg:	1486224157000	1486224622000	465000
stonehenge5265.jpeg:	1486224157000	1486224368000	211000
stonehenge5249.jpeg:	1486224157000	1486224293000	136000
stonehenge5288.jpeg:	1486224157000	1486224485000	328000
stonehenge5335.jpeg:	1486224157000	1486224698000	541000
stonehenge5278.jpeg:	1486224157000	1486224434000	277000
stonehenge5272.jpeg:	1486224157000	1486224403000	246000
stonehenge5328.jpeg:	1486224157000	1486224665000	508000
stonehenge5344.jpeg:	1486224159000	1486224782000	623000
stonehenge5253.jpeg:	1486224157000	1486224316000	159000
stonehenge5347.jpeg:	1486224159000	1486224796000	637000
stonehenge5250.jpeg:	1486224157000	1486224298000	141000
stonehenge5303.jpeg:	1486224157000	1486224550000	393000
stonehenge5306.jpeg:	1486224157000	1486224563000	406000
stonehenge5363.jpeg:	1486224159000	1486224867000	708000
stonehenge5300.jpeg:	1486224157000	1486224536000	379000
stonehenge5294.jpeg:	1486224157000	1486224510000	353000
stonehenge5297.jpeg:	1486224157000	1486224522000	365000
stonehenge5360.jpeg:	1486224159000	1486224856000	697000
stonehenge5256.jpeg:	1486224157000	1486224330000	173000
stonehenge5325.jpeg:	1486224157000	1486224648000	491000
stonehenge5341.jpeg:	1486224159000	1486224763000	604000
stonehenge5322.jpeg:	1486224157000	1486224636000	479000
stonehenge5259.jpeg:	1486224157000	1486224345000	188000
stonehenge5309.jpeg:	1486224157000	1486224577000	420000
stonehenge5275.jpeg:	1486224157000	1486224416000	259000
stonehenge5291.jpeg:	1486224157000	1486224496000	339000
stonehenge5315.jpeg:	1486224157000	1486224606000	449000
stonehenge5329.jpeg:	1486224157000	1486224670000	513000
stonehenge5232.jpeg:	1486224157000	1486224221000	64000
stonehenge5293.jpeg:	1486224157000	1486224506000	349000
stonehenge5229.jpeg:	1486224157000	1486224214000	57000
stonehenge5263.jpeg:	1486224157000	1486224362000	205000
stonehenge5231.jpeg:	1486224157000	1486224219000	62000
stonehenge5276.jpeg:	1486224157000	1486224422000	265000
stonehenge5331.jpeg:	1486224157000	1486224680000	523000
stonehenge5277.jpeg:	1486224157000	1486224432000	275000
stonehenge5332.jpeg:	1486224157000	1486224684000	527000
stonehenge5262.jpeg:	1486224157000	1486224358000	201000
stonehenge5362.jpeg:	1486224159000	1486224863000	704000
stonehenge5246.jpeg:	1486224157000	1486224279000	122000
stonehenge5301.jpeg:	1486224157000	1486224542000	385000
stonehenge5346.jpeg:	1486224159000	1486224790000	631000
stonehenge5375.jpeg:	1486224157000	1486224741000	584000
stonehenge5233.jpeg:	1486224157000	1486224224000	67000
stonehenge5364.jpeg:	1486224153000	1486224158000	5000
stonehenge5361.jpeg:	1486224159000	1486224861000	702000
stonehenge5228.jpeg:	1486224157000	1486224211000	54000
stonehenge5244.jpeg:	1486224157000	1486224271000	114000
stonehenge5295.jpeg:	1486224157000	1486224514000	357000
stonehenge5350.jpeg:	1486224159000	1486224809000	650000
stonehenge5316.jpeg:	1486224157000	1486224610000	453000
stonehenge5247.jpeg:	1486224157000	1486224284000	127000
stonehenge5302.jpeg:	1486224157000	1486224546000	389000
stonehenge5292.jpeg:	1486224157000	1486224500000	343000
stonehenge5258.jpeg:	1486224157000	1486224341000	184000
stonehenge5313.jpeg:	1486224157000	1486224596000	439000
stonehenge5345.jpeg:	1486224159000	1486224787000	628000
stonehenge5260.jpeg:	1486224157000	1486224350000	193000
stonehenge5348.jpeg:	1486224159000	1486224798000	639000
stonehenge5230.jpeg:	1486224157000	1486224216000	59000
stonehenge5359.jpeg:	1486224159000	1486224852000	693000
stonehenge5257.jpeg:	1486224157000	1486224334000	177000
stonehenge5296.jpeg:	1486224157000	1486224519000	362000
stonehenge5365.jpeg:	1486224153000	1486224161000	8000
stonehenge5274.jpeg:	1486224157000	1486224414000	257000
stonehenge5374.jpeg:	1486224157000	1486224737000	580000
stonehenge5290.jpeg:	1486224157000	1486224493000	336000
stonehenge5326.jpeg:	1486224157000	1486224654000	497000
stonehenge5226.jpeg:	1486224157000	1486224206000	49000
stonehenge5279.jpeg:	1486224157000	1486224439000	282000
stonehenge5321.jpeg:	1486224157000	1486224631000	474000
stonehenge5327.jpeg:	1486224157000	1486224659000	502000
stonehenge5273.jpeg:	1486224157000	1486224408000	251000
stonehenge5349.jpeg:	1486224159000	1486224803000	644000
stonehenge5320.jpeg:	1486224157000	1486224628000	471000
stonehenge5304.jpeg:	1486224157000	1486224554000	397000
stonehenge5235.jpeg:	1486224157000	1486224230000	73000
stonehenge5343.jpeg:	1486224159000	1486224775000	616000
stonehenge5251.jpeg:	1486224157000	1486224306000	149000
stonehenge5261.jpeg:	1486224157000	1486224352000	195000
stonehenge5333.jpeg:	1486224157000	1486224688000	531000
stonehenge5339.jpeg:	1486224159000	1486224752000	593000
stonehenge5264.jpeg:	1486224157000	1486224364000	207000
stonehenge5289.jpeg:	1486224157000	1486224489000	332000
stonehenge5336.jpeg:	1486224157000	1486224705000	548000
stonehenge5358.jpeg:	1486224159000	1486224847000	688000
stonehenge5355.jpeg:	1486224159000	1486224830000	671000
stonehenge5242.jpeg:	1486224157000	1486224263000	106000
stonehenge5248.jpeg:	1486224157000	1486224287000	130000
stonehenge5245.jpeg:	1486224157000	1486224275000	118000
stonehenge5352.jpeg:	1486224159000	1486224818000	659000
stonehenge5311.jpeg:	1486224157000	1486224583000	426000
stonehenge5280.jpeg:	1486224157000	1486224444000	287000
stonehenge5286.jpeg:	1486224157000	1486224472000	315000
stonehenge5267.jpeg:	1486224157000	1486224378000	221000
stonehenge5317.jpeg:	1486224157000	1486224614000	457000
stonehenge5314.jpeg:	1486224157000	1486224601000	444000
stonehenge5330.jpeg:	1486224157000	1486224674000	517000
stonehenge5283.jpeg:	1486224157000	1486224458000	301000

Mittelwert:	354
Longest:	708

