Name	UploadTime	FinishTime	Diff		
stonehenge5779.jpeg:	1488098244000	1488098530000	286000		
stonehenge5776.jpeg:	1488098244000	1488098527000	283000		
stonehenge5765.jpeg:	1488098244000	1488098516000	272000		
stonehenge5768.jpeg:	1488098244000	1488098519000	275000		
stonehenge5769.jpeg:	1488098244000	1488098520000	276000		
stonehenge5773.jpeg:	1488098244000	1488098524000	280000		
stonehenge5766.jpeg:	1488098244000	1488098517000	273000		
stonehenge5774.jpeg:	1488098244000	1488098526000	282000		
stonehenge5767.jpeg:	1488098244000	1488098518000	274000		
stonehenge5771.jpeg:	1488098244000	1488098523000	279000		
stonehenge5777.jpeg:	1488098244000	1488098528000	284000		
stonehenge5772.jpeg:	1488098244000	1488098524000	280000		286000
stonehenge5775.jpeg:	1488098244000	1488098527000	283000		272000
stonehenge5778.jpeg:	1488098244000	1488098529000	285000		14000
stonehenge5770.jpeg:	1488098244000	1488098522000	278000		
					
Mittelwert:	279				
Longest:	286				
