Name	UploadTime	FinishTime	Diff
stonehenge6118.jpeg:	1488145334000	1488145663000	329000
stonehenge6143.jpeg:	1488145333000	1488145688000	355000
stonehenge6088.jpeg:	1488145334000	1488145633000	299000
stonehenge6126.jpeg:	1488145335000	1488145671000	336000
stonehenge6096.jpeg:	1488145334000	1488145641000	307000
stonehenge6090.jpeg:	1488145334000	1488145635000	301000
stonehenge6127.jpeg:	1488145335000	1488145672000	337000
stonehenge6142.jpeg:	1488145333000	1488145687000	354000
stonehenge6087.jpeg:	1488145334000	1488145632000	298000
stonehenge6134.jpeg:	1488145335000	1488145679000	344000
stonehenge6135.jpeg:	1488145335000	1488145680000	345000
stonehenge6120.jpeg:	1488145334000	1488145665000	331000
stonehenge6112.jpeg:	1488145334000	1488145657000	323000
stonehenge6104.jpeg:	1488145334000	1488145648000	314000
stonehenge6136.jpeg:	1488145332000	1488145682000	350000
stonehenge6133.jpeg:	1488145335000	1488145678000	343000
stonehenge6122.jpeg:	1488145335000	1488145667000	332000
stonehenge6130.jpeg:	1488145335000	1488145675000	340000
stonehenge6139.jpeg:	1488145333000	1488145684000	351000
stonehenge6111.jpeg:	1488145334000	1488145656000	322000
stonehenge6100.jpeg:	1488145334000	1488145645000	311000
stonehenge6091.jpeg:	1488145334000	1488145636000	302000
stonehenge6106.jpeg:	1488145334000	1488145651000	317000
stonehenge6109.jpeg:	1488145334000	1488145654000	320000
stonehenge6097.jpeg:	1488145334000	1488145643000	309000
stonehenge6103.jpeg:	1488145334000	1488145648000	314000
stonehenge6114.jpeg:	1488145334000	1488145659000	325000
stonehenge6086.jpeg:	1488145333000	1488145631000	298000
stonehenge6141.jpeg:	1488145333000	1488145686000	353000
stonehenge6128.jpeg:	1488145335000	1488145673000	338000
stonehenge6089.jpeg:	1488145334000	1488145634000	300000
stonehenge6117.jpeg:	1488145334000	1488145662000	328000
stonehenge6125.jpeg:	1488145335000	1488145670000	335000
stonehenge6094.jpeg:	1488145334000	1488145639000	305000
stonehenge6115.jpeg:	1488145334000	1488145660000	326000
stonehenge6085.jpeg:	1488145333000	1488145630000	297000
stonehenge6140.jpeg:	1488145333000	1488145685000	352000
stonehenge6099.jpeg:	1488145334000	1488145644000	310000
stonehenge6101.jpeg:	1488145334000	1488145646000	312000
stonehenge6132.jpeg:	1488145335000	1488145677000	342000
stonehenge6093.jpeg:	1488145334000	1488145638000	304000
stonehenge6129.jpeg:	1488145335000	1488145675000	340000
stonehenge6137.jpeg:	1488145332000	1488145684000	352000
stonehenge6124.jpeg:	1488145335000	1488145669000	334000
stonehenge6084.jpeg:	1488145333000	1488145629000	296000
stonehenge6138.jpeg:	1488145333000	1488145684000	351000
stonehenge6131.jpeg:	1488145335000	1488145676000	341000
stonehenge6123.jpeg:	1488145335000	1488145668000	333000
stonehenge6107.jpeg:	1488145334000	1488145652000	318000
stonehenge6092.jpeg:	1488145334000	1488145637000	303000
stonehenge6102.jpeg:	1488145334000	1488145647000	313000
stonehenge6119.jpeg:	1488145334000	1488145664000	330000
stonehenge6095.jpeg:	1488145334000	1488145640000	306000
stonehenge6105.jpeg:	1488145334000	1488145650000	316000
stonehenge6108.jpeg:	1488145334000	1488145653000	319000
stonehenge6113.jpeg:	1488145334000	1488145658000	324000
stonehenge6116.jpeg:	1488145334000	1488145662000	328000
stonehenge6098.jpeg:	1488145334000	1488145643000	309000
stonehenge6121.jpeg:	1488145334000	1488145666000	332000
stonehenge6110.jpeg:	1488145334000	1488145655000	321000

Mittelwert:	324
Longest:	355

